Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK
321,Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,de Bundesliga,25,1998,19,15,1263,14,7,2,9,7,0,0,3,0,4.1,4.1,1.3,5.5,25,33,72,0.64,0.39,27,14,51.9,1.92,1,0.26,0.5,17.5,0
323,MatAoA Bero,sk SVK,MF,Bochum,de Bundesliga,28,1995,30,29,2565,28.5,5,2,7,5,0,1,11,0,4,3,3.7,6.7,29,143,111,0.25,0.27,31,12,38.7,1.09,0.42,0.16,0.42,17,1
326,Jan-Niklas Beste,de GER,"FW,MF",Freiburg,de Bundesliga,25,1999,12,0,212,2.4,0,1,1,0,0,0,0,0,0.9,0.9,0.4,1.3,5,8,20,0.42,0.54,6,2,33.3,2.55,0.85,0,0,17.6,1
327,Beto,gw GNB,FW,Everton,eng Premier League,26,1998,30,15,1534,17,8,0,8,8,0,0,2,0,8.2,8.2,1.2,9.4,15,16,77,0.47,0.55,49,23,46.9,2.87,1.35,0.16,0.35,13.1,0
328,Sam Beukema,nl NED,DF,Bologna,it Serie A,25,1998,35,33,3012,33.5,0,1,1,0,0,0,1,0,1.5,1.5,0.9,2.4,27,153,9,0.03,0.07,15,4,26.7,0.45,0.12,0,0,10.6,0
329,Alessandro Bianco,it ITA,MF,Monza,it Serie A,21,2002,34,29,2600,28.9,1,0,1,1,0,0,9,0,1.3,1.3,1.2,2.5,35,125,24,0.03,0.09,26,6,23.1,0.9,0.21,0.04,0.17,23.7,0
331,Mika Biereth,dk DEN,FW,Monaco,fr Ligue 1,21,2003,16,16,1228,13.6,13,2,15,12,1,2,0,0,11.3,9.7,4.5,14.2,14,24,110,1.03,1.16,40,22,55,2.93,1.61,0.3,0.55,11.6,0
332,Jaka Bijol,si SVN,DF,Udinese,it Serie A,25,1999,34,34,2963,32.9,1,0,1,1,0,0,13,1,2,2,0.6,2.6,22,98,10,0.03,0.08,19,6,31.6,0.58,0.18,0.05,0.17,11.8,0
333,El Bilal TourA,ml MLI,"FW,MF",Stuttgart,de Bundesliga,22,2001,12,3,356,4,2,1,3,2,0,0,0,0,1.6,1.6,1.1,2.8,6,7,25,0.76,0.7,14,4,28.6,3.54,1.01,0.14,0.5,15.2,0
334,Philip Billing,dk DEN,MF,Bournemouth,eng Premier League,28,1996,10,1,184,2,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0,0.82,5,1,20,2.45,0.49,0,0,17.9,0
