Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK
2146,BeAat Prados,es ESP,MF,Athletic Club,es La Liga,23,2001,30,21,1715,19.1,1,0,1,1,0,0,7,0,1,1,1.1,2.1,20,78,32,0.05,0.11,16,5,31.3,0.84,0.26,0.06,0.2,20.1,0
2147,Alexander Prass,at AUT,DF,Hoffenheim,de Bundesliga,23,2001,23,19,1566,17.4,0,1,1,0,0,0,1,0,0.9,0.9,2.8,3.6,28,63,66,0.06,0.21,12,1,8.3,0.69,0.06,0,0,18.6,1
2149,AbdA3n Prats,es ESP,"FW,MF",Mallorca,es La Liga,31,1992,24,3,456,5.1,2,0,2,1,1,1,4,0,2.2,1.5,0.1,1.6,0,7,14,0.2,0.47,13,4,30.8,2.57,0.79,0.08,0.25,14.7,0
2153,Ivan Prtajin,hr CRO,FW,Union Berlin,de Bundesliga,28,1996,5,2,161,1.8,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.7,1,1,17,0,0.37,8,2,25,4.47,1.12,0,0,15.7,0
2154,Javi Puado,es ESP,"FW,MF",Espanyol,es La Liga,26,1998,35,35,2974,33,12,4,16,7,5,5,8,0,11.6,7.7,3,10.7,73,75,113,0.33,0.44,66,19,28.8,2,0.57,0.11,0.37,20.7,0
2155,Tymoteusz Puchacz,pl POL,DF,Holstein Kiel,de Bundesliga,25,1999,10,5,396,4.4,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,13,8,30,0.23,0.16,4,1,25,0.91,0.23,0,0,21.6,0
2157,Christian Pulisic,us USA,"FW,MF",Milan,it Serie A,25,1998,34,29,2478,27.5,11,9,20,8,3,4,1,0,12,8.9,6.4,15.2,121,105,191,0.62,0.67,53,20,37.7,1.92,0.73,0.15,0.4,16.7,1
2159,Leopold Querfeld,at AUT,DF,Union Berlin,de Bundesliga,20,2003,27,17,1747,19.4,2,2,4,2,0,0,8,0,1.1,1.1,1,2.2,3,49,5,0.21,0.11,16,4,25,0.82,0.21,0.13,0.5,14.1,0
2160,Dani Raba,es ESP,"FW,MF",Leganes,es La Liga,28,1995,29,24,1879,20.9,8,6,14,4,4,5,6,0,7.5,3.6,5.3,8.9,42,69,101,0.48,0.61,39,12,30.8,1.87,0.57,0.1,0.33,25.5,4
2161,Adrien Rabiot,fr FRA,MF,Marseille,fr Ligue 1,29,1995,29,27,2485,27.6,9,4,13,9,0,0,4,0,7.3,7.3,3.8,11.1,79,168,174,0.47,0.4,48,22,45.8,1.74,0.8,0.19,0.41,13.2,0
2163,Hamza Rafia,tn TUN,MF,Lecce,it Serie A,25,1999,18,14,1058,11.8,0,0,0,0,0,0,4,0,0.5,0.5,1.4,1.9,13,51,32,0,0.16,10,2,20,0.85,0.17,0,0,23.3,1
2166,Antonio Raillo,es ESP,DF,Mallorca,es La Liga,32,1991,36,36,3207,35.6,2,0,2,2,0,0,7,1,2,2,1.6,3.7,31,108,20,0.06,0.1,35,8,22.9,0.98,0.22,0.06,0.25,12.8,0
2167,Antonio Raimondo,it ITA,"FW,DF",Venezia,it Serie A,20,2004,9,0,94,1,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,2,2,7,0,0.4,1,1,100,0.96,0.96,0,0,4.4,0
2168,Ylber Ramadani,al ALB,MF,Lecce,it Serie A,28,1996,29,21,1807,20.1,1,1,2,1,0,0,4,0,0.6,0.6,1.1,1.7,9,60,7,0.1,0.09,17,6,35.3,0.85,0.3,0.06,0.17,25.7,0
2169,Benito RamArez,es ESP,"DF,FW",Las Palmas,es La Liga,29,1995,19,2,478,5.3,0,0,0,0,0,0,2,1,0.3,0.3,0.9,1.2,14,16,62,0,0.22,10,1,10,1.88,0.19,0,0,22.7,1
2170,Sandro RamArez,es ESP,"FW,MF",Las Palmas,es La Liga,29,1995,31,25,2034,22.6,9,3,12,8,1,1,6,0,4.1,3.3,3.4,6.7,52,52,121,0.49,0.33,51,20,39.2,2.26,0.88,0.16,0.4,24.3,14
2171,Jacobo RamA3n,es ESP,DF,Real Madrid,es La Liga,19,2005,3,2,204,2.3,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,0,1,2,0.44,0.16,2,1,50,0.88,0.44,0.5,1,9.5,0
2172,GonAalo Ramos,pt POR,FW,Paris S-G,fr Ligue 1,23,2001,22,12,1066,11.8,10,3,13,8,2,3,1,0,13.6,11.3,2.2,13.4,11,24,63,0.93,1.33,52,29,55.8,4.39,2.45,0.15,0.28,11.3,0
2174,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,eng Premier League,23,2001,29,19,1623,18,1,3,4,1,0,0,4,1,1.6,1.6,2.3,3.9,61,68,114,0.22,0.22,19,4,21.1,1.05,0.22,0.05,0.25,16.8,0
2175,Luca Ranieri,it ITA,DF,Fiorentina,it Serie A,25,1999,35,34,2981,33.1,0,3,3,0,0,0,7,0,1.1,1.1,1.7,2.7,25,80,11,0.09,0.08,10,4,40,0.3,0.12,0,0,16.2,0
2177,Lilian Raolisoa,fr FRA,"DF,FW",Angers,fr Ligue 1,24,2000,29,14,1318,14.6,0,3,3,0,0,0,1,2,0.7,0.7,2,2.7,33,47,62,0.2,0.18,14,1,7.1,0.96,0.07,0,0,23.2,1
2178,Raphinha,br BRA,"FW,MF",Barcelona,es La Liga,27,1996,36,32,2839,31.5,18,9,27,16,2,2,4,0,19.2,17.6,12.7,30.3,94,135,349,0.79,1.01,112,40,35.7,3.55,1.27,0.14,0.4,19.1,18
2180,Marcus Rashford,eng ENG,FW,Aston Villa,eng Premier League,26,1997,10,4,444,4.9,2,2,4,1,1,1,0,0,3.1,2.3,2.3,4.5,22,13,42,0.61,1.08,18,5,27.8,3.65,1.01,0.06,0.2,19.4,2
2181,Giacomo Raspadori,it ITA,"FW,MF",Napoli,it Serie A,24,2000,26,11,1103,12.3,6,1,7,6,0,0,1,0,4,4,2.4,6.4,18,42,57,0.57,0.52,42,14,33.3,3.43,1.14,0.14,0.43,16,2
2182,Andrei Ratiu,ro ROU,DF,Rayo Vallecano,es La Liga,26,1998,35,34,3065,34.1,2,3,5,2,0,0,5,0,1.8,1.8,5.7,7.5,122,145,167,0.15,0.22,31,7,22.6,0.91,0.21,0.06,0.29,19.1,0
2183,RaAol,es ESP,"FW,MF",Osasuna,es La Liga,23,2000,32,5,750,8.3,4,0,4,4,0,0,1,0,3.5,3.5,0.7,4.1,10,16,49,0.48,0.5,25,12,48,3,1.44,0.16,0.33,14.4,0
2184,David Raum,de GER,DF,RB Leipzig,de Bundesliga,26,1998,22,21,1783,19.8,1,5,6,1,0,0,5,0,0.5,0.5,6.5,6.9,36,71,127,0.3,0.35,9,4,44.4,0.45,0.2,0.11,0.25,17.9,3
2186,Rayan Raveloson,mg MAD,"MF,DF",Auxerre,fr Ligue 1,27,1997,13,7,724,8,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1,5,31,12,0.12,0.12,16,5,31.3,1.99,0.62,0.06,0.2,21.6,1
2188,Abderrahman Rebbach,dz ALG,"FW,MF",Alaves,es La Liga,25,1998,8,4,385,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,16,5,34,0,0.11,6,1,16.7,1.4,0.23,0,0,20.3,0
2189,Ante RebiA,hr CRO,"FW,MF",Lecce,it Serie A,30,1993,27,7,788,8.8,1,0,1,1,0,0,3,2,2.1,2.1,2.1,4.2,17,36,63,0.11,0.48,13,5,38.5,1.48,0.57,0.08,0.2,16.7,0
2190,Harrison Reed,eng ENG,MF,Fulham,eng Premier League,29,1995,12,0,108,1.2,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,1,4,7,0,0.27,3,2,66.7,2.5,1.67,0,0,21.7,0
2193,Tijjani Reijnders,nl NED,MF,Milan,it Serie A,26,1998,37,36,3128,34.8,10,4,14,10,0,0,2,1,7.5,7.5,3.5,11,111,230,121,0.4,0.32,77,28,36.4,2.22,0.81,0.13,0.36,20,2
2196,Rocco Reitz,de GER,MF,Gladbach,de Bundesliga,22,2002,27,21,1830,20.3,2,1,3,2,0,0,1,0,1.7,1.7,2.1,3.8,18,91,30,0.15,0.19,23,7,30.4,1.13,0.34,0.09,0.29,16.8,0
2197,Nicolai Remberg,de GER,MF,Holstein Kiel,de Bundesliga,24,2000,32,26,2417,26.9,0,1,1,0,0,0,11,0,1.5,1.5,0.8,2.3,25,80,31,0.04,0.09,24,2,8.3,0.89,0.07,0,0,17.9,0
2199,Devyne Rensch,nl NED,DF,Roma,it Serie A,21,2003,14,5,469,5.2,0,1,1,0,0,0,0,0,0.3,0.3,0.8,1,2,14,25,0.19,0.2,3,2,66.7,0.58,0.38,0,0,13.6,0
2202,Mateo Retegui,it ITA,FW,Atalanta,it Serie A,25,1999,36,32,2383,26.5,25,8,33,21,4,5,3,0,18.9,14.9,4.9,19.8,21,46,199,1.1,0.9,99,32,32.3,3.74,1.21,0.21,0.66,12.8,2
2203,Elvis RexhbeAaj,xk KVX,MF,Augsburg,de Bundesliga,26,1997,27,22,1785,19.8,1,1,2,1,0,0,8,0,1.4,1.4,1.1,2.5,31,94,82,0.1,0.13,29,5,17.2,1.46,0.25,0.03,0.2,20.2,1
2204,Gio Reyna,us USA,MF,Dortmund,de Bundesliga,21,2002,16,3,350,3.9,2,0,2,2,0,0,3,0,0.2,0.2,0.2,0.4,5,22,19,0.51,0.1,3,2,66.7,0.77,0.51,0.67,1,18.3,0
2206,Alexsandro Ribeiro,br BRA,DF,Lille,fr Ligue 1,24,1999,30,30,2700,30,1,1,2,1,0,0,10,0,1.6,1.6,0.4,2,25,178,8,0.07,0.07,21,4,19,0.7,0.13,0.05,0.25,10.3,0
2207,Samuele Ricci,it ITA,MF,Torino,it Serie A,22,2001,34,34,2825,31.4,1,1,2,1,0,0,8,1,1.3,1.3,0.6,1.8,43,116,30,0.06,0.06,22,7,31.8,0.7,0.22,0.05,0.14,25.3,0
2208,Declan Rice,eng ENG,MF,Arsenal,eng Premier League,25,1999,35,33,2825,31.4,4,7,11,4,0,0,7,1,3.5,3.5,6.6,10.1,90,192,94,0.35,0.32,48,14,29.2,1.53,0.45,0.08,0.29,19.6,2
2209,Chris Richards,us USA,DF,Crystal Palace,eng Premier League,24,2000,24,22,1922,21.4,1,0,1,1,0,0,4,1,1.4,1.4,0.1,1.5,6,39,2,0.05,0.07,12,6,50,0.56,0.28,0.08,0.17,10.8,0
2210,Amir Richardson,ma MAR,MF,Fiorentina,it Serie A,22,2002,26,10,1024,11.4,1,1,2,1,0,0,6,0,0.9,0.9,0.6,1.5,19,47,31,0.18,0.12,11,5,45.5,0.97,0.44,0.09,0.2,20.6,0
2211,Richarlison,br BRA,FW,Tottenham,eng Premier League,27,1997,15,4,504,5.6,4,1,5,4,0,0,2,0,3.7,3.7,0.9,4.6,8,11,22,0.89,0.82,17,7,41.2,3.04,1.25,0.24,0.57,9.1,0
2212,Diego Rico,es ESP,DF,Getafe,es La Liga,31,1993,33,32,2819,31.3,0,3,3,0,0,0,9,1,0.4,0.4,2.7,3.1,27,136,84,0.1,0.1,16,3,18.8,0.51,0.1,0,0,31.1,1
2213,Fabian Rieder,ch SUI,"MF,FW",Stuttgart,de Bundesliga,22,2002,21,8,867,9.6,1,3,4,1,0,0,1,0,1.4,1.4,2,3.4,20,38,61,0.42,0.35,20,7,35,2.08,0.73,0.05,0.14,22.1,6
2216,Luis Rioja,es ESP,"MF,FW",Valencia,es La Liga,30,1993,36,33,2831,31.5,5,3,8,3,2,2,6,0,3.3,1.7,4.5,6.2,93,103,228,0.19,0.25,28,12,42.9,0.89,0.38,0.11,0.25,21.2,1
2217,Rodrigo Riquelme,es ESP,"MF,DF",Atletico Madrid,es La Liga,24,2000,16,4,516,5.7,0,1,1,0,0,0,0,0,0.9,0.9,0.8,1.7,43,24,62,0.17,0.3,14,4,28.6,2.44,0.7,0,0,17.7,1
2218,Alberto Risco,es ESP,"MF,FW",Getafe,es La Liga,18,2005,5,0,69,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,3,6,0,0.41,4,1,25,5.22,1.3,0,0,21.1,0
2220,Lars Ritzka,de GER,"DF,MF",St Pauli,de Bundesliga,26,1998,21,11,922,10.2,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,8,21,34,0.1,0.06,8,1,12.5,0.78,0.1,0.13,1,25,0
2222,Sergi Roberto,es ESP,MF,Como,it Serie A,32,1992,13,8,696,7.7,0,1,1,0,0,0,4,0,0.7,0.7,0.7,1.4,10,36,19,0.13,0.18,6,1,16.7,0.78,0.13,0,0,23.5,0
2223,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,30,1994,33,29,2482,27.6,0,1,1,0,0,0,3,1,1.2,1.2,4.6,5.8,64,176,108,0.04,0.21,15,2,13.3,0.54,0.07,0,0,14.9,0
2224,Antonee Robinson,us USA,DF,Fulham,eng Premier League,26,1997,36,35,3167,35.2,0,10,10,0,0,0,8,0,0.7,0.7,4.2,4.9,118,131,274,0.28,0.14,16,2,12.5,0.45,0.06,0,0,22.1,0
2225,Jay Robinson,eng ENG,"MF,FW",Southampton,eng Premier League,17,2007,4,1,137,1.5,0,0,0,0,0,0,0,0,0,0,0.7,0.7,3,1,10,0,0.47,1,1,100,0.66,0.66,0,0,13.2,0
2226,Marc Roca,es ESP,MF,Betis,es La Liga,27,1996,14,11,906,10.1,2,2,4,2,0,0,4,0,1.1,1.1,1,2.1,11,59,13,0.4,0.21,12,4,33.3,1.19,0.4,0.17,0.5,16.9,1
2228,Rodri,es ESP,FW,Betis,es La Liga,24,2000,3,1,118,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,4,8,11,0,0.19,2,2,100,1.53,1.53,0,0,22.6,0
2231,Alvaro RodrAguez,uy URU,FW,Getafe,es La Liga,20,2004,22,7,852,9.5,2,0,2,2,0,0,6,0,1.2,1.2,0.3,1.5,6,13,50,0.21,0.16,25,10,40,2.64,1.06,0.08,0.2,16.8,0
2232,Ascar RodrAguez Arnaiz,es ESP,"MF,FW",Leganes,es La Liga,26,1998,29,12,1330,14.8,1,4,5,1,0,0,6,1,2.1,2.1,2.2,4.3,24,60,66,0.34,0.29,33,6,18.2,2.23,0.41,0.03,0.17,25.1,9
2235,Dani RodrAguez,es ESP,"MF,FW",Mallorca,es La Liga,36,1988,37,26,2162,24,4,7,11,4,0,0,5,0,2.8,2.8,3.1,6,37,78,108,0.46,0.25,31,10,32.3,1.29,0.42,0.13,0.4,17.9,1
2237,Guido RodrAguez,ar ARG,MF,West Ham,eng Premier League,30,1994,23,16,1149,12.8,0,1,1,0,0,0,6,0,0.2,0.2,0.2,0.4,4,33,7,0.08,0.03,8,1,12.5,0.63,0.08,0,0,27.8,0
2238,James RodrAguez,co COL,"MF,FW",Rayo Vallecano,es La Liga,33,1991,6,1,140,1.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,3,13,7,0,0.29,4,2,50,2.57,1.29,0,0,18.8,0
2239,Javi RodrAguez,es ESP,DF,Celta Vigo,es La Liga,21,2003,36,26,2514,27.9,3,2,5,3,0,0,7,0,2.3,2.3,1,3.3,29,114,51,0.18,0.12,12,5,41.7,0.43,0.18,0.25,0.6,10.8,0
2240,Jesus RodrAguez,es ESP,FW,Betis,es La Liga,18,2005,21,15,1111,12.3,2,0,2,2,0,0,0,0,2.3,2.3,0.2,2.5,53,35,99,0.16,0.2,23,8,34.8,1.86,0.65,0.09,0.25,17.9,0
2241,Kirian RodrAguez,es ESP,MF,Las Palmas,es La Liga,28,1996,21,21,1758,19.5,0,3,3,0,0,0,2,0,1.6,1.6,1.5,3,25,128,39,0.15,0.16,21,8,38.1,1.08,0.41,0,0,21.8,0
2242,Ricardo RodrAguez,ch SUI,DF,Betis,es La Liga,31,1992,18,15,1274,14.2,0,1,1,0,0,0,0,0,0.2,0.2,0.4,0.6,19,63,32,0.07,0.04,5,1,20,0.35,0.07,0,0,26.3,2
2243,Rodrygo,br BRA,"FW,MF",Real Madrid,es La Liga,23,2001,30,22,1928,21.4,6,5,11,6,0,0,0,0,4,3.9,3,6.9,113,108,253,0.51,0.33,54,20,37,2.52,0.93,0.11,0.3,16.4,3
2244,Mads Roerslev,dk DEN,DF,Brentford,eng Premier League,25,1999,19,11,1101,12.2,0,2,2,0,0,0,2,0,0.2,0.2,3,3.2,17,51,54,0.16,0.26,5,2,40,0.41,0.16,0,0,20.8,0
2246,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,eng Premier League,22,2002,37,37,3114,34.6,8,10,18,8,0,0,10,0,6.6,6.6,7.8,14.4,114,123,188,0.52,0.42,55,20,36.4,1.59,0.58,0.15,0.4,15.9,0
2247,Merlin RAhl,de GER,"MF,FW",Freiburg,de Bundesliga,22,2002,19,11,965,10.7,0,1,1,0,0,0,2,0,0.8,0.8,1.7,2.5,20,22,60,0.09,0.23,12,3,25,1.12,0.28,0,0,18.2,0
2248,Alessio Romagnoli,it ITA,DF,Lazio,it Serie A,29,1995,32,31,2672,29.7,2,0,2,2,0,0,4,2,2.4,2.4,0.3,2.6,8,90,4,0.07,0.09,20,7,35,0.67,0.24,0.1,0.29,9.8,0
2250,Carlos Romero,es ESP,DF,Espanyol,es La Liga,22,2001,34,28,2554,28.4,2,1,3,2,0,0,7,0,2,2,2.1,4.2,50,64,113,0.11,0.15,29,6,20.7,1.02,0.21,0.07,0.33,20.8,1
2251,Cristian Romero,ar ARG,DF,Tottenham,eng Premier League,26,1998,18,18,1416,15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,12,71,3,0.06,0.14,16,8,50,1.02,0.51,0.06,0.13,9.1,0
2252,Isaac Romero,es ESP,FW,Sevilla,es La Liga,24,2000,31,26,2156,24,4,2,6,4,0,1,10,1,6.8,6,2.1,8.1,21,29,95,0.25,0.37,53,17,32.1,2.21,0.71,0.08,0.24,16.9,0
2254,Oriol Romeu,es ESP,MF,Girona,es La Liga,32,1991,25,17,1356,15.1,0,0,0,0,0,0,5,0,0.1,0.1,0.3,0.4,22,73,8,0,0.03,5,1,20,0.33,0.07,0,0,22.5,0
2255,Valentin Rongier,fr FRA,"MF,DF",Marseille,fr Ligue 1,29,1994,25,17,1562,17.4,3,1,4,3,0,0,5,0,1,1,1.1,2.1,25,110,28,0.23,0.12,14,7,50,0.81,0.4,0.21,0.43,21.6,0
2256,Marten de Roon,nl NED,"MF,DF",Atalanta,it Serie A,33,1991,36,34,3058,34,4,4,8,4,0,0,5,0,0.9,0.9,2.3,3.2,37,242,32,0.24,0.09,14,4,28.6,0.41,0.12,0.29,1,22.7,0
2257,Vitor Roque,br BRA,FW,Betis,es La Liga,19,2005,22,14,1235,13.7,4,0,4,4,0,0,4,0,6.1,6.1,1.2,7.3,24,17,57,0.29,0.53,41,18,43.9,2.99,1.31,0.1,0.22,14.5,0
2258,Pablo Rosario,do DOM,"MF,DF",Nice,fr Ligue 1,27,1997,29,21,1775,19.7,3,1,4,2,1,1,6,1,3.8,3,0.6,3.5,17,89,25,0.15,0.22,16,7,43.8,0.81,0.35,0.13,0.29,16.1,0
2259,Lasse Rosenboom,de GER,DF,Holstein Kiel,de Bundesliga,22,2002,26,21,1734,19.3,2,2,4,2,0,0,3,0,1.9,1.9,1.1,3,19,34,50,0.21,0.16,12,5,41.7,0.62,0.26,0.17,0.4,12.7,0
2260,Max Rosenfelder,de GER,DF,Freiburg,de Bundesliga,21,2003,25,13,1249,13.9,1,0,1,1,0,0,2,0,0.4,0.4,0.7,1,24,29,18,0.07,0.08,5,1,20,0.36,0.07,0.2,1,12.3,0
2261,Valentin Rosier,fr FRA,DF,Leganes,es La Liga,27,1996,32,28,2595,28.8,1,2,3,1,0,0,8,0,0.9,0.9,1.1,2,41,74,89,0.1,0.07,14,4,28.6,0.49,0.14,0.07,0.25,18.7,0
2262,Tom Rothe,de GER,"DF,MF",Union Berlin,de Bundesliga,19,2004,26,19,1670,18.6,3,3,6,3,0,0,4,1,1.8,1.8,1.3,3.1,25,50,91,0.32,0.17,23,9,39.1,1.24,0.49,0.13,0.33,11.7,0
2263,Anthony Rouault,fr FRA,DF,Rennes,fr Ligue 1,23,2001,11,11,972,10.8,0,0,0,0,0,0,3,0,0.5,0.5,0,0.5,3,36,0,0,0.05,7,3,42.9,0.65,0.28,0,0,11,0
2267,NicolA2 Rovella,it ITA,MF,Lazio,it Serie A,22,2001,33,31,2718,30.2,0,3,3,0,0,0,13,0,1.5,1.5,2.2,3.7,45,159,42,0.1,0.12,28,8,28.6,0.93,0.26,0,0,23.4,2
2268,Jon Rowe,eng ENG,"FW,MF",Marseille,fr Ligue 1,21,2003,28,6,807,9,3,3,6,3,0,0,2,0,3.5,3.5,4.5,8,30,31,96,0.67,0.89,36,15,41.7,4.01,1.67,0.08,0.2,16.8,0
2269,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,30,1994,38,38,3406,37.8,1,3,4,1,0,0,2,0,2.9,2.9,1.1,4,30,188,2,0.11,0.11,28,3,10.7,0.74,0.08,0.04,0.33,9.2,0
2271,Antonio RA14diger,de GER,DF,Real Madrid,es La Liga,31,1993,29,26,2291,25.5,0,0,0,0,0,0,3,0,1.7,1.7,0.5,2.3,20,94,4,0,0.09,24,4,16.7,0.94,0.16,0,0,18,0
2272,Matteo Ruggeri,it ITA,DF,Atalanta,it Serie A,22,2002,30,19,1751,19.5,0,3,3,0,0,0,2,0,0.2,0.2,2,2.2,60,114,104,0.15,0.11,3,2,66.7,0.15,0.1,0,0,20.4,0
2273,Aitor Ruibal,es ESP,"DF,FW",Betis,es La Liga,28,1996,29,13,1313,14.6,1,3,4,1,0,0,5,0,0.9,0.9,2.4,3.3,21,50,64,0.27,0.23,16,4,25,1.1,0.27,0.06,0.25,19,0
2274,Abel Ruiz,es ESP,FW,Girona,es La Liga,24,2000,23,17,1346,15,4,0,4,3,1,2,3,0,4.6,3,0.5,3.5,21,23,71,0.2,0.34,21,7,33.3,1.4,0.47,0.14,0.43,14,0
2276,FabiAn Ruiz PeAa,es ESP,MF,Paris S-G,fr Ligue 1,28,1996,30,21,1923,21.4,4,5,9,4,0,0,1,0,4.3,4.3,4.7,9,47,205,92,0.42,0.42,43,12,27.9,2.01,0.56,0.09,0.33,18.7,0
2278,Georginio Rutter,fr FRA,"MF,FW",Brighton,eng Premier League,22,2002,28,19,1656,18.4,5,3,8,5,0,0,2,0,4.6,4.6,2.5,7.1,42,67,79,0.43,0.39,50,12,24,2.72,0.65,0.1,0.42,15.5,0
2280,Julian Ryerson,no NOR,DF,Dortmund,de Bundesliga,26,1997,29,27,2259,25.1,2,3,5,2,0,0,6,1,0.7,0.7,4.5,5.2,66,92,136,0.2,0.21,18,5,27.8,0.72,0.2,0.11,0.4,20.4,0
2283,Elias Saad,tn TUN,"FW,MF",St Pauli,de Bundesliga,24,1999,18,10,900,10,3,2,5,3,0,0,1,0,2.8,2.8,0.8,3.6,29,27,76,0.5,0.36,26,8,30.8,2.6,0.8,0.12,0.38,17.6,0
2285,Emmanuel Sabbi,us USA,"FW,MF",Le Havre,fr Ligue 1,26,1997,15,7,653,7.3,0,0,0,0,0,0,1,0,1.9,1.9,0.6,2.5,11,15,39,0,0.35,15,4,26.7,2.07,0.55,0,0,12.5,0
2286,Stefano Sabelli,it ITA,DF,Genoa,it Serie A,31,1993,34,23,2058,22.9,0,2,2,0,0,0,3,0,0.1,0.1,1.9,2.1,36,88,43,0.09,0.09,6,1,16.7,0.26,0.04,0,0,22.5,0
2287,Marcel Sabitzer,at AUT,MF,Dortmund,de Bundesliga,30,1994,26,18,1616,18,1,0,1,1,0,0,3,0,1.8,1.8,1.6,3.3,24,97,70,0.06,0.19,21,8,38.1,1.17,0.45,0.05,0.13,20.8,0
2289,Umar Sadiq,ng NGA,FW,Valencia,es La Liga,27,1997,16,9,825,9.2,5,0,5,5,0,0,4,0,3.4,3.4,0.7,4.1,9,7,49,0.55,0.45,20,7,35,2.18,0.76,0.25,0.71,13.2,0
2291,Alexis Saelemaekers,be BEL,"DF,FW",Roma,it Serie A,25,1999,22,17,1389,15.4,7,3,10,7,0,0,4,0,2.5,2.5,2.6,5.1,39,53,136,0.65,0.33,25,12,48,1.62,0.78,0.28,0.58,16.7,0
2293,Jorge SAenz,es ESP,DF,Leganes,es La Liga,27,1996,23,19,1690,18.8,1,0,1,1,0,0,4,1,1.3,1.3,0.1,1.4,5,36,2,0.05,0.07,8,3,37.5,0.43,0.16,0.13,0.33,8.9,0
2295,Modibo Sagnan,ml MLI,DF,Montpellier,fr Ligue 1,25,1999,27,24,2141,23.8,2,0,2,2,0,0,10,0,0.7,0.7,0.6,1.3,13,51,3,0.08,0.06,11,3,27.3,0.46,0.13,0.18,0.67,11.5,0
2297,Osame Sahraoui,ma MAR,"FW,MF",Lille,fr Ligue 1,23,2001,30,10,1293,14.4,3,3,6,3,0,0,1,0,2.9,2.9,3.6,6.5,69,89,159,0.42,0.45,23,8,34.8,1.6,0.56,0.13,0.38,15.6,0
2298,Wesley SaA d,fr FRA,FW,Lens,fr Ligue 1,29,1995,24,11,905,10.1,3,0,3,3,0,0,4,0,3.2,3.2,1,4.2,16,24,53,0.3,0.42,17,7,41.2,1.69,0.7,0.18,0.43,11.2,0
2299,ThAo Sainte-Luce,fr FRA,DF,Montpellier,fr Ligue 1,25,1998,16,11,1018,11.3,1,0,1,1,0,0,3,0,1,1,0.8,1.8,19,22,33,0.09,0.17,8,4,50,0.71,0.35,0.13,0.25,10.8,0
2300,Bukayo Saka,eng ENG,"FW,MF",Arsenal,eng Premier League,22,2001,25,20,1729,19.2,6,10,16,5,1,1,3,0,6.8,6,7.6,13.7,96,70,255,0.78,0.75,66,22,33.3,3.44,1.15,0.08,0.23,15.6,1
2304,Ibrahim Salah,ma MAR,FW,Brest,fr Ligue 1,22,2001,12,4,358,4,1,1,2,1,0,0,0,0,0.6,0.6,0.6,1.1,15,7,40,0.5,0.29,13,4,30.8,3.27,1.01,0.08,0.25,19.7,0
2305,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,32,1992,38,38,3371,37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,154,144,488,1.01,1.05,121,50,41.3,3.23,1.33,0.17,0.4,14.5,1
2306,Anass Salah-Eddine,nl NED,DF,Roma,it Serie A,22,2002,3,2,152,1.7,0,1,1,0,0,0,0,0,0.3,0.3,0.1,0.5,8,2,15,0.59,0.27,2,1,50,1.18,0.59,0,0,13,0
2307,Amine Salama,fr FRA,FW,Reims,fr Ligue 1,24,2000,17,2,373,4.1,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1,12,9,28,0,0.25,9,3,33.3,2.17,0.72,0,0,16.3,1
2309,Kike Salas,es ESP,DF,Sevilla,es La Liga,22,2002,31,25,2238,24.9,3,2,5,3,0,0,6,0,1.9,1.9,0.6,2.5,7,59,18,0.2,0.1,23,6,26.1,0.92,0.24,0.13,0.5,12.7,0
2310,Manolis Saliakas,gr GRE,"MF,DF",St Pauli,de Bundesliga,27,1996,30,26,2314,25.7,2,1,3,2,0,0,4,0,1.5,1.5,2.6,4.1,28,93,80,0.12,0.16,29,6,20.7,1.13,0.23,0.07,0.33,22.3,0
2311,William Saliba,fr FRA,DF,Arsenal,eng Premier League,23,2001,35,35,3039,33.8,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,138,6,0.06,0.09,6,2,33.3,0.18,0.06,0.33,1,5.4,0
